,title,text,time,image,country,3let,countrycode
24, Βιασμός 11χρονης: Και για απειλές κατά της ζωής της κατέθεσε η αθλήτρια ,"Ο 38χρονος προπονητής φέρεται να απείλησε τη ζωή της αθλήτριας και της οικογένειάς της, προκειμένου να μη μιλήσει για την σεξουαλική κακοποίηση που υπέστη. Η ανήλικη είχε πάει στην Αστυνομία το 2013 χωρίς αποτέλεσμα.",2021-01-25 22:23:00,https://www.news247.gr/img/6927/9122825/584000/w140/140/proponitis.jpg,ελλάδα,,GR
25," Γερμανικό ""δώρο"" στην Τουρκία για τις διερευνητικές ","""Θετική ένδειξη"" χαρακτήρισε ο υπουργός Εξωτερικών της Γερμανίας την επανέναρξη των διερευνητικών επαφών Ελλάδας-Τουρκίας, λέγοντας πως ""δεν θα πρέπει να επιβαρυνθεί με κυρώσεις""",2021-01-25 22:22:00,https://www.news247.gr/img/9466/9122820/381000/w140/140/maas.jpg,τουρκία,,TR
26, Ο Μπέρνι Σάντερς έγινε (και) πλεχτό κουκλάκι με βελονάκι ,Κυκλοφόρησε συλλεκτική εκδοχή από κουκλάκι που απεικονίζει τον Μπέρνι Σάντερς από το Tobey Time Crochet. Η δημιουργός του πλεχτού δίνει οδηγίες για να το φτιάξουμε.,2021-01-25 22:18:00,https://www.news247.gr/img/6865/9122775/802000/w140/140/plexto.jpg,ελλάδα,,GR
27, Πάτρα: Σε ξεκαθάρισμα αποδίδεται το τροχαίο και η αιματηρή συμπλοκή - Κλινικά νεκρός ένας άνδρας ,Στο περιστατικό εμπλέκονται συνολικά 6 Αλβανοί. Οι μισοί επέβαιναν σε ένα όχημα που κατεδίωκε ένα άλλο όχημα στο οποίο επέβαιναν οι υπόλοιποι. Συγκρούστηκαν τα οχήματά τους και ξέσπασε η αιματηρή συμπλοκή.,2021-01-25 21:55:00,https://www.news247.gr/img/6692/9122823/435000/w140/140/patra250121.jpg,ελλάδα,,GR
28, Περιστέρι: Η τραγική ιστορία πίσω από τη σύλληψη γιατρού για παράνομες συνταγογραφήσεις ,"Ο γιατρός Κέντρου Υγείας στο Περιστέρι έκοβε συνταγές για ναρκωτικά στην μητέρα τοξικομανούς και ασθενούς με ψυχολογικά προβλήματα, η οποία επειδή δεν ήταν ασφαλισμένη όπως και ο γιος της, του πήγαινε ΑΜΚΑ άλλων πολιτών.",2021-01-25 21:46:00,https://www.news247.gr/img/4540/9122731/169000/w140/140/untitled_1.jpg,ελλάδα,,GR
29, Βρυξέλλες: Στο επίκεντρο η Τουρκία - Επιφυλακτική και όχι αφελής η ΕΕ ,"Στο επίκεντρο των θεμάτων του Συμβουλίων Εξωτερικών Υποθέσεων της ΕΕ η Τουρκία. Διάθεση της Άγκυρας αλλά και απαίτηση συνέπειας στην ""επίθεση φιλίας"" αναφέρουν διπλωματικές πηγές.",2021-01-25 21:05:00,https://www.news247.gr/img/3973/9122748/063000/w140/140/untitled_1.jpg,τουρκία,,TR
30, Λιανεμπόριο: Πρόστιμα 3.300 ευρώ την πρώτη εβδομάδα του ανοίγματος ,Πραγματοποιήθηκαν συνολικά 2.382 έλεγχοι και βεβαιώθηκαν 11 παραβάσεις που αφορούσαν στη μη τήρηση των μέτρων κατά της διασποράς του κορονοϊού.,2021-01-25 20:50:00,https://www.news247.gr/img/7915/9075789/355000/w140/140/pripoliko.jpg,ελλάδα,,GR
31, Μπάιντεν: Κανονικά στον στρατό των ΗΠΑ διεμφυλικά άτομα ,Την απαγόρευση κατάταξης διεμφυλικών ατόμων είχε επιβάλει ο Ντόναλντ Τραμπ. Ο Τζο Μπάιντεν ανέφερε πως η κατάργησή της είναι καλύτερη για τον στρατό και τη χώρα.,2021-01-25 20:44:00,https://www.news247.gr/img/3653/9122735/392000/w140/140/usarmy1.jpg,ελλάδα,,GR
32, Τίνος είναι τελικά το παλάτι; Η απάντηση Πούτιν σε Ναβάλνι ,"Η απάντηση του Ρώσου προέδρου για το πολυτελές οίκημα στη Μαύρη Θάλασσα, το οποίο, σύμφωνα με τον φυλακισμένο επικριτή του Κρεμλίνου, του ανήκει. ",2021-01-25 20:30:00,https://www.news247.gr/img/6799/9122639/843000/w140/140/palati250121.jpg,ελλάδα,,GR
33, Ιταλία: Παραιτείται ο Κόντε ,Το πρωί της Τρίτης αναμένεται να κάνει γνωστή ο Ιταλός πρωθυπουργός την απόφασή του να παραιτηθεί. ,2021-01-25 20:13:00,https://www.news247.gr/img/3876/9122707/929000/w140/140/conte250121.jpg,ιταλία,,IT
34, Ιταλία: Προς παραίτηση ο Κόντε ,Το πρωί της Τρίτης αναμένεται να κάνει γνωστή ο Ιταλός πρωθυπουργός την απόφασή του να παραιτηθεί. ,2021-01-25 20:13:00,https://www.news247.gr/img/3876/9122707/929000/w140/140/conte250121.jpg,ιταλία,,IT
35, Γαλλία: Τηλεοπτικός παραγωγός κατηγορείται από τον ανιψιό του για συνέργεια σε βιασμό ανηλίκου ,"Ο τηλεοπτικός παραγωγός Ζεράρ Λουβέν κατηγορείται από τον ανιψιό του, ότι επέτρεπε στον σύζυγό του να τον κακοποιεί σεξουαλικά όταν ήταν ανήλικος. Τι απαντά.",2021-01-25 19:56:00,https://www.news247.gr/img/9352/9122668/027000/w140/140/gerard.jpg,γαλλία,,FR
36, Πάτρα: Πυροβολισμοί μετά από τροχαίο - Ένας σοβαρά τραυματίας ,"Δύο αυτοκίνητα συγκρούστηκαν, για άγνωστο μέχρι στιγμής λόγο, και αμέσως μετά κάποιοι από τους επιβαίνοντες άρχισαν να πυροβολούν. ",2021-01-25 19:50:00,https://www.news247.gr/img/8183/7611440/444000/w140/140/atm.jpg,ελλάδα,,GR
37, Στέιτ Ντιπάρτμεντ: Χαιρετίζει την επανέναρξη των διερευνητικών Ελλάδας-Τουρκίας ," Η Ουάσιγκτον χαιρετίζει την επανέναρξη διερευνητικών συνομιλιών Ελλάδας-Τουρκίας, όπως εξέφρασε ο νέος εκπρόσωπος του Στέιτ Ντιπάρτμεντ Νεντ Πράις.",2021-01-25 19:42:00,https://www.news247.gr/img/752/6658508/266000/w140/140/state-department.jpg,ελλάδα,,GR
